Date,Open,High,Low,Adj Close,Close,Volume
2023-01-13,511.4,520.5,511.4,510.4,518.65,4195766
2023-01-12,509.9,514.5,507.0,508.1,510.4,4129397
2023-01-11,515.95,515.95,505.65,514.45,508.1,3308303
2023-01-10,526.5,526.5,502.7,524.75,514.45,5366443
2023-01-09,523.0,527.5,520.65,519.8,524.75,1841059
2023-01-06,525.85,528.45,514.35,524.75,519.8,3454408
2023-01-05,518.95,525.95,513.55,518.85,524.75,3166328
2023-01-04,532.2,536.75,517.4,530.95,518.85,7145153
2023-01-03,527.5,533.4,523.05,526.5,530.95,3247177
2023-01-02,526.75,530.9,523.0,524.1,526.5,2226882
2022-12-30,525.0,531.9,522.1,522.75,524.1,3361557
2022-12-29,517.2,534.4,504.6,518.4,522.75,7354986
2022-12-28,525.0,527.5,516.45,523.3,518.4,3959786
2022-12-27,520.0,527.3,509.35,514.15,523.3,5808135
2022-12-26,493.95,522.35,489.9,491.25,514.15,8583591
2022-12-23,528.95,531.8,486.0,532.85,491.25,10542194
2022-12-22,543.5,544.6,525.25,539.2,532.85,7913985
2022-12-21,562.0,564.0,532.2,560.1,539.2,6698446
2022-12-20,563.9,565.0,554.1,563.85,560.1,2314297
2022-12-19,556.95,566.35,555.0,556.05,563.85,2341796
2022-12-16,558.0,568.6,553.5,561.2,556.05,4854309
2022-12-15,583.0,584.0,558.75,582.2,561.2,5047769
2022-12-14,585.1,589.5,581.05,584.55,582.2,1682787
2022-12-13,587.0,589.0,583.05,585.05,584.55,2436178
2022-12-12,580.0,587.3,573.4,581.0,585.05,4062852
2022-12-09,593.9,598.0,572.25,587.75,581.0,7795856
2022-12-08,583.95,590.8,581.6,582.0,587.75,2897290
2022-12-07,582.9,588.35,575.1,581.0,582.0,5406859
2022-12-06,572.5,585.0,570.6,573.35,581.0,6009003
2022-12-05,580.85,582.35,571.8,577.95,573.35,5491648
2022-12-02,582.55,584.15,573.4,580.95,577.95,7097523
2022-12-01,573.5,585.0,569.5,570.75,580.95,8400806
2022-11-30,565.9,573.95,560.55,564.95,570.75,6139270
2022-11-29,569.6,574.4,563.75,568.45,564.95,3646853
2022-11-28,564.0,572.5,562.8,564.65,568.45,4078114
2022-11-25,560.4,567.4,556.55,557.85,564.65,4010892
2022-11-24,564.25,565.95,554.55,562.9,557.85,3977412
2022-11-23,567.8,571.0,560.2,565.85,562.9,2782614
2022-11-22,564.0,578.45,560.5,564.05,565.85,7405911
2022-11-21,573.0,573.8,562.7,574.1,564.05,3480076
2022-11-18,574.5,576.0,563.9,574.2,574.1,4114267
2022-11-17,578.0,581.3,570.25,577.2,574.2,3652873
2022-11-16,586.5,593.5,568.2,586.45,577.2,8557056
2022-11-15,583.9,593.0,575.3,580.3,586.45,11897606
2022-11-14,558.9,586.55,557.55,557.55,580.3,9070550
2022-11-11,565.0,566.9,553.85,558.15,557.55,5254274
2022-11-10,563.0,568.4,551.5,564.5,558.15,5700059
2022-11-09,570.0,580.7,561.2,568.1,564.5,10307830
2022-11-07,561.0,573.0,553.15,558.6,568.1,9287441
2022-11-04,540.9,560.3,538.85,539.5,558.6,8028860
2022-11-03,540.0,547.5,538.5,545.0,539.5,3945015
2022-11-02,546.75,549.0,539.3,544.05,545.0,7740170
2022-11-01,535.0,545.6,533.75,532.95,544.05,8669246
2022-10-31,522.45,538.6,521.35,520.1,532.95,8601980
2022-10-28,530.2,530.2,515.65,527.6,520.1,6679582
2022-10-27,515.35,532.6,513.25,513.1,527.6,10067299
2022-10-25,516.2,521.8,511.65,516.9,513.1,5007924
2022-10-24,518.0,521.05,516.0,512.6,516.9,1415497
2022-10-21,518.0,522.9,503.8,517.7,512.6,9693780
2022-10-20,509.0,519.0,507.0,510.7,517.7,5223412
2022-10-19,511.0,519.0,506.7,507.85,510.7,6646701
2022-10-18,523.0,524.2,506.05,520.55,507.85,10116195
2022-10-17,499.0,522.7,497.45,501.85,520.55,9626670
2022-10-14,508.0,512.0,497.5,496.85,501.85,6337662
2022-10-13,505.4,505.4,491.5,505.45,496.85,6212954
2022-10-12,502.75,507.45,484.2,500.2,505.45,11786907
2022-10-11,525.0,526.6,498.3,522.65,500.2,7659702
2022-10-10,517.0,537.95,515.35,521.8,522.65,12806265
2022-10-07,506.8,527.0,499.8,506.9,521.8,9384553
2022-10-06,497.9,513.8,496.15,492.2,506.9,9447220
2022-10-04,502.4,506.4,482.9,488.65,492.2,12515966
2022-10-03,516.1,519.95,471.05,515.6,488.65,14296197
2022-09-30,507.0,523.15,501.0,506.35,515.6,11027478
2022-09-29,509.6,519.0,495.2,500.05,506.35,11297808
2022-09-28,495.0,514.35,491.05,504.35,500.05,12029150
2022-09-27,507.95,524.0,474.0,511.2,504.35,29131156
2022-09-26,537.0,544.0,499.1,539.35,511.2,17756139
2022-09-23,535.0,555.0,535.0,534.05,539.35,17014661
2022-09-22,524.5,548.8,516.1,541.35,534.05,24714675
2022-09-21,572.0,575.8,532.8,574.35,541.35,48990918
2022-09-20,579.0,585.7,567.5,564.9,574.35,43803577
2022-09-19,517.0,572.95,514.0,516.7,564.9,75771183
2022-09-16,530.95,550.0,511.05,538.75,516.7,42869715
2022-09-15,529.0,544.65,509.4,524.6,538.75,37879876
2022-09-14,482.0,533.7,482.0,486.5,524.6,57236617
2022-09-13,483.25,488.65,476.25,475.65,486.5,17846212
2022-09-12,454.6,479.5,440.6,454.7,475.65,27759936
2022-09-09,465.3,484.7,451.85,461.9,454.7,29429693
2022-09-08,453.95,464.0,446.25,448.9,461.9,14949706
2022-09-07,440.05,457.5,436.0,436.5,448.9,28272706
2022-09-06,419.4,441.0,417.5,417.95,436.5,23184248
2022-09-05,417.15,419.65,414.05,415.6,417.95,6074232
2022-09-02,411.45,418.3,405.55,409.8,415.6,8068140
2022-09-01,409.6,413.8,407.65,411.25,409.8,10762759
2022-08-30,406.65,412.85,404.5,403.45,411.25,7851221
2022-08-29,397.0,405.5,395.1,402.85,403.45,7557377
2022-08-26,400.0,406.7,392.2,397.15,402.85,13259855
2022-08-25,404.15,408.3,395.9,404.15,397.15,11274377
2022-08-24,405.45,407.55,398.1,405.45,404.15,15732854
2022-08-23,400.0,414.45,398.0,408.0,405.45,15303452
2022-08-22,418.1,420.25,404.35,420.45,408.0,11430999
2022-08-19,412.0,427.0,410.3,409.6,420.45,25171485
2022-08-18,398.3,414.5,396.5,398.3,409.6,15635959
2022-08-17,398.75,404.95,397.0,396.1,398.3,9431378
2022-08-16,388.9,399.0,385.45,384.8,396.1,11560886
2022-08-12,380.0,388.0,378.85,380.2,384.8,5187959
2022-08-11,382.0,382.0,378.6,380.05,380.2,2409612
2022-08-10,380.0,381.65,378.4,380.2,380.05,4144801
2022-08-08,382.85,382.95,378.85,382.65,380.2,3347503
2022-08-05,381.1,383.05,380.05,381.25,382.65,5063415
2022-08-04,382.0,383.75,378.0,381.75,381.25,6766464
2022-08-03,380.0,382.4,376.5,378.65,381.75,4871595
2022-08-02,375.4,382.8,374.95,375.4,378.65,9280180
2022-08-01,377.0,378.0,374.25,374.8,375.4,2858911
2022-07-29,372.4,376.0,370.0,370.85,374.8,6522804
2022-07-28,372.5,372.5,369.6,370.85,370.85,2711190
2022-07-27,369.25,372.2,368.7,369.95,370.85,2093379
2022-07-26,371.05,371.15,368.55,371.15,369.95,3457867
2022-07-25,372.55,373.5,370.4,372.55,371.15,3224932
2022-07-22,370.0,373.1,368.95,370.75,372.55,3091493
2022-07-21,368.0,371.35,366.25,367.85,370.75,3275734
2022-07-20,369.95,371.95,366.6,370.95,367.85,7381308
2022-07-19,369.3,371.5,369.3,370.7,370.95,1567448
2022-07-18,370.6,372.4,369.6,369.15,370.7,1745124
2022-07-15,368.0,371.3,368.0,369.9,369.15,3856534
2022-07-14,372.8,372.8,368.5,371.2,369.9,2772420
2022-07-13,372.95,373.95,370.3,370.9,371.2,2291028
2022-07-12,368.8,372.85,367.75,369.2,370.9,2870836
2022-07-11,367.1,369.95,366.85,368.45,369.2,3135297
2022-07-08,367.0,369.05,366.0,366.95,368.45,2126285
2022-07-07,369.9,369.9,366.1,368.25,366.95,2378264
2022-07-06,367.0,370.35,366.95,366.65,368.25,2209031
2022-07-05,368.95,371.25,365.6,368.55,366.65,3120800
2022-07-04,366.95,369.9,366.05,367.55,368.55,2275112
2022-07-01,363.95,368.6,362.1,363.0,367.55,2763265
2022-06-30,365.55,365.95,362.1,365.5,363.0,4383329
2022-06-29,364.95,367.5,364.1,366.45,365.5,4586257
2022-06-28,365.85,367.35,363.5,365.15,366.45,4285971
2022-06-27,362.25,365.7,360.5,360.6,365.15,3073581
2022-06-24,362.0,362.0,359.2,358.95,360.6,2713333
2022-06-23,358.4,362.0,358.05,357.95,358.95,2799410
2022-06-22,358.9,358.9,355.5,358.9,357.95,2588905
